날짜,멤버 이름,멤버 종족,멤버 티어,상대,상대 종족,상대 티어,맵,결과,구분,구분2,month
2025-01-01,슬돌이,프로토스,3티어,야리,저그,3티어,데자뷰,승,스폰(단판),스폰,1
2025-01-01,김뽀뇨,프로토스,3티어,야리,저그,3티어,데자뷰,승,스폰(단판),스폰,1
2025-01-01,김뽀뇨,프로토스,3티어,이유란,저그,3티어,폴리포이드,승,스폰(단판),스폰,1
2025-01-01,찌킹,저그,5티어,나린,저그,5티어,폴리포이드,패,스폰(단판),스폰,1
2025-01-01,찌킹,저그,5티어,나린,저그,5티어,폴리포이드,승,스폰(단판),스폰,1
2025-01-01,찌킹,저그,5티어,나린,저그,5티어,폴리포이드,승,스폰(단판),스폰,1
2025-01-01,찌킹,저그,5티어,링고,프로토스,5티어,폴리포이드,승,스폰(3/2) #1,스폰,1
2025-01-01,찌킹,저그,5티어,링고,프로토스,5티어,데자뷰,패,스폰(3/2) #2,스폰,1
2025-01-01,찌킹,저그,5티어,링고,프로토스,5티어,라데온,승,스폰(3/2) #2,스폰,1
2025-01-01,구루미,저그,5티어,태영,테란,5티어,폴리포이드,승,스폰(3/2) #1,스폰,1
2025-01-01,구루미,저그,5티어,태영,테란,5티어,라데온,패,스폰(3/2) #2,스폰,1
2025-01-01,구루미,저그,5티어,태영,테란,5티어,도미네이터,승,스폰(3/2) #3,스폰,1
2025-01-01,구루미,저그,5티어,연애인,프로토스,5티어,폴리포이드,승,스폰(3/2) #1,스폰,1
2025-01-01,구루미,저그,5티어,연애인,프로토스,5티어,라데온,승,스폰(3/2) #2,스폰,1
2025-01-01,구루미,저그,5티어,연애인,프로토스,5티어,폴리포이드,패,스폰(3/2) #1,스폰,1
2025-01-01,구루미,저그,5티어,연애인,프로토스,5티어,폴리포이드,패,스폰(3/2) #2,스폰,1
2025-01-01,팥순,프로토스,6티어,슈슈,저그,6티어,폴리포이드,패,스폰(3/2) #1,스폰,1
2025-01-01,팥순,프로토스,6티어,슈슈,저그,6티어,라데온,패,스폰(3/2) #2,스폰,1
2025-01-02,슬돌이,프로토스,3티어,이유란,저그,3티어,폴리포이드,승,스폰(단판),스폰,1
2025-01-02,슬돌이,프로토스,3티어,이유란,저그,3티어,폴리포이드,승,스폰(단판),스폰,1
2025-01-02,슬돌이,프로토스,3티어,이유란,저그,3티어,폴리포이드,패,스폰(단판),스폰,1
2025-01-02,슬돌이,프로토스,3티어,모꿀몬,테란,3티어,폴리포이드,승,스폰(단판),스폰,1
2025-01-02,김뽀뇨,프로토스,3티어,야리,저그,3티어,데자뷰,패,스폰(단판),스폰,1
2025-01-02,김뽀뇨,프로토스,3티어,지두두,테란,3티어,폴리포이드,패,스폰(3/2) #1,스폰,1
2025-01-02,김뽀뇨,프로토스,3티어,지두두,테란,3티어,라데온,패,스폰(3/2) #2,스폰,1
2025-01-02,김뽀뇨,프로토스,3티어,나예리,테란,3티어,데자뷰,패,스폰(3/2) #1,스폰,1
2025-01-02,김뽀뇨,프로토스,3티어,나예리,테란,3티어,도미네이터,승,스폰(3/2) #2,스폰,1
2025-01-02,김뽀뇨,프로토스,3티어,나예리,테란,3티어,폴리포이드,승,스폰(3/2) #3,스폰,1
2025-01-02,김뽀뇨,프로토스,3티어,나예리,테란,3티어,라데온,패,스폰(3/2) #1,스폰,1
